,,0
no_lab_instances_MISS,no_lab_instances_MISS,1.0
pcg46,pcg46,1.0
sp2,sp2,1.0
sp3,sp3,1.0
sp4,sp4,1.0
sp5,sp5,1.0
sp6,sp6,1.0
sp7,sp7,1.0
sp8,sp8,1.0
sp9,sp9,1.0
sp10,sp10,1.0
sp11,sp11,1.0
sp12,sp12,1.0
sp14,sp14,1.0
pg1,pg1,1.0
pg2,pg2,1.0
pg3,pg3,1.0
sp1,sp1,1.0
pcg45,pcg45,1.0
pcg26,pcg26,1.0
pcg44,pcg44,1.0
pcg29,pcg29,1.0
pcg30,pcg30,1.0
pcg31,pcg31,1.0
pcg32,pcg32,1.0
pcg33,pcg33,1.0
pcg34,pcg34,1.0
pcg35,pcg35,1.0
pcg36,pcg36,1.0
pcg37,pcg37,1.0
pcg38,pcg38,1.0
pcg39,pcg39,1.0
pcg40,pcg40,1.0
pcg41,pcg41,1.0
pcg42,pcg42,1.0
pcg43,pcg43,1.0
pg4,pg4,1.0
pg5,pg5,1.0
pg6,pg6,1.0
pg7,pg7,1.0
ps9,ps9,1.0
ps10,ps10,1.0
no_drug_instances,no_drug_instances,1.0
DrugCount_sum,DrugCount_sum,1.0
DrugCount_max,DrugCount_max,1.0
DrugCount_min,DrugCount_min,1.0
DrugCount_mean,DrugCount_mean,1.0
DrugCount_std,DrugCount_std,1.0
no_lab_instances,no_lab_instances,1.0
LabCount_sum,LabCount_sum,1.0
LabCount_max,LabCount_max,1.0
LabCount_min,LabCount_min,1.0
LabCount_mean,LabCount_mean,1.0
LabCount_std,LabCount_std,1.0
AAFC_MISS,age_MISS,1.0
ps7,ps7,1.0
ps6,ps6,1.0
ps5,ps5,1.0
pg14,pg14,1.0
pg8,pg8,1.0
pg9,pg9,1.0
pg10,pg10,1.0
pg11,pg11,1.0
pg12,pg12,1.0
pg13,pg13,1.0
pg15,pg15,1.0
ps4,ps4,1.0
pg16,pg16,1.0
pg17,pg17,1.0
pg18,pg18,1.0
ps1,ps1,1.0
ps2,ps2,1.0
ps3,ps3,1.0
pcg28,pcg28,1.0
pcg25,pcg25,1.0
no_drug_instances_MISS,no_drug_instances_MISS,1.0
no_Providers,no_Providers,1.0
no_PCPs,no_PCPs,1.0
no_PlaceSvcs,no_PlaceSvcs,1.0
no_Specialties,no_Specialties,1.0
no_PrimaryConditionGroups,no_PrimaryConditionGroups,1.0
no_ProcedureGroups,no_ProcedureGroups,1.0
PayDelay_sum,PayDelay_sum,1.0
PayDelay_max,PayDelay_max,1.0
PayDelay_min,PayDelay_min,1.0
PayDelay_mean,PayDelay_mean,1.0
PayDelay_std,PayDelay_std,1.0
LengthOfStay_sum,LengthOfStay_sum,1.0
LengthOfStay_max,LengthOfStay_max,1.0
LengthOfStay_min,LengthOfStay_min,1.0
LengthOfStay_mean,LengthOfStay_mean,1.0
LengthOfStay_std,LengthOfStay_std,1.0
no_Vendors,no_Vendors,1.0
